"word","definition","reasoning"
"arm","(anatomy) The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand.","The definition describing the human body part is the most fundamental, common, and universally understood meaning of the word."
"aryl","(organic chemistry) Any univalent organic radical derived from an aromatic hydrocarbon by removing a hydrogen atom.","This is the only provided definition. While technical, it is clear and does not violate other critical rules."
"ass","Any of several species of horse-like animals, especially Equus asinus, the domesticated of which are used as beasts of burden.","The definition referring to the animal is the most common, natural, and non-vulgar meaning, adhering to the preference for a readable description."
"asset","A thing or quality that has value, especially one that generates cash flows.","The definition 'A thing or quality that has value' is the most general, common, and broadly applicable meaning, avoiding more technical or slang uses."
"ate","An elder sister","This definition, 'An elder sister', is a direct noun definition and avoids the trivial grammatical redirects ('past of eat') that are explicitly to be avoided."
"atlas","A bound collection of maps often including tables, illustrations or other text.","This is the most common and widely understood definition of an atlas, referring to a collection of maps."
"atp","(Internet slang, text messaging) Initialism of at this point.","This is the only provided definition and represents a common usage of the initialism in internet slang."
"ats","plural of at","Both definitions are trivial grammatical redirects, violating rule 2. The first is selected as a fallback, but it is not ideal."
"auks","plural of auk","This definition is a trivial grammatical redirect, violating rule 2. It is selected as a fallback, but it is not ideal."
"ave","A reverential salutation.","This definition provides a common and natural description of 'ave' as a general salutation, avoiding abbreviations."
"aver","(ambitransitive) To assert the truth of (something); to affirm (something) with confidence; to declare (something) in a positive manner.","This definition is the most common, readable, and natural description of the verb 'aver'."
"avi","(Internet slang, informal) An avatar displayed by a user's profile on a social networking site.","This is the only provided definition and represents a common informal usage of the word."
"avid","Enthusiastic; keen; eager; showing great interest in something or desire to do something.","This definition is the most common, natural, and comprehensive description of the word 'avid'."
"avis","(obsolete) advice; opinion; deliberation.","This is the only provided definition, despite being marked as obsolete."
"avo","A subdivision of currency, equal to one hundredth of a Macanese pataca.","This definition describes a distinct unit of currency, which is a more formal and less derivative meaning than a regional clipping."
"ayr","(Isle of Man) father","This is a specific, non-trivial definition, unlike the alternative spelling option."
"baas","(South Africa) An employer, a boss (frequently used as a form of address).","This definition provides a common and readable meaning, avoiding trivial grammatical redirects."
"bad","Of low quality.","This is a very common, concise, and easily understood primary meaning of the word, without being trivial or revealing the word itself."
"bag","A soft container made out of cloth, paper, thin plastic, etc. and open at the top, used to hold food, commodities, and other goods.","This definition describes the most common and primary meaning of the word as a container, without using close variations or being obscure."
"bah","(sometimes humorous) Expressing contempt, disgust, or bad temper.","This definition captures the primary use of 'bah' as an interjection, avoiding trivial alternative spellings."
"bal","(Cornwall) The surface of a mine.","This is the only available definition and describes a specific, non-trivial meaning."
"ban","A prohibition.","This definition provides a concise and common noun meaning of the word, avoiding definitions that use the word itself or are too obscure."
"bard","A professional poet and singer, like among the ancient Celts, whose occupation was to compose and sing verses in honor of the heroic achievements of princes and brave men.","This definition describes the most common and primary meaning of 'bard' as a poet/singer, avoiding obscure or technical jargon."
"bat","Any flying mammal of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous.","This definition refers to the common animal meaning, which is distinct, readable, and does not reveal the word or use close variations."
"bats","(informal) Mad, insane.","This definition provides a common, non-trivial, and idiomatic meaning, avoiding simple plural or grammatical redirects."
"bed","(countable) A piece of furniture, usually flat and soft, on which to rest or sleep.","This is the most common and straightforward definition of the word as a piece of furniture for sleeping, without revealing the word itself."
"ben","A Scottish or Irish mountain or high peak.","This definition provides a common and distinct geographical meaning for the word without revealing it or being a trivial redirect."
"bid","An offer at an auction, or to carry out a piece of work.","This definition clearly describes the common meaning of an offer, particularly in contexts like auctions or contracts, without revealing the word."
"big","Of great size, large.","This is the most fundamental and universally understood definition of the word, describing size, without revealing the word itself."
"bin","A container for rubbish or waste.","This is a very common and widely understood definition, particularly in British English, for a container used for waste."
"bis","(music, law) Twice; showing that something is, or is to be, repeated, such as a passage of music, or an item in accounts.","This is the only non-trivial definition, commonly used in music and legal contexts to indicate repetition."
"bod","(slang) A person.","This is a common slang term for a person and avoids revealing the closely related word ""body""."
"bog","An area of decayed vegetation (particularly sphagnum moss) which forms a wet spongy ground too soft for walking.","This is the most common and descriptive definition of the word as a type of wet, spongy ground, without revealing the word itself."
"bol","(informal) bolognese","This is the only available definition, though it is a clipping that directly refers to the full word ""bolognese"", which is a close variation of ""bol"" and thus violates the rule against revealing the word or close variations."
"bonk","(informal) To hit or strike; to collide with something.","This is the most common and straightforward verb definition, describing a physical action, without revealing the word."
"bor","(Norfolk, Suffolk) man (not used for children).","This is the only definition available and does not violate any rules."
"bot","(computing) A piece of software designed to perform a task (often a minor but repetitive one) automatically or on command, especially when operating with the appearance of a (human) user profile or account.","This definition describes a common and widely understood modern usage of 'bot' as a piece of software, which is more general than specific video game or physical robot contexts."
"bots","plural of bot","Both definitions are trivial grammatical redirects ('plural of', 'third-person singular'). The first is chosen as per instructions to always return a selection."
"boy","A male child.","This is the most common, natural, and primary definition of the word."
"bra","An item of clothing, usually underwear worn to support the breasts.","This is the most common and widely recognized definition of the word, avoiding technical jargon or slang."
"brag","A boast or boasting; bragging; ostentatious pretence or self-glorification.","This definition provides a clear and common noun meaning for the word."
"bro","(slang) Brother (a male sibling).","This is the most fundamental and common slang meaning, referring to a male sibling."
"bros","plural of bro","This is a trivial grammatical redirect ('plural of'). It is chosen as per instructions to always return a selection."
"bud","A newly sprouted leaf or blossom that has not yet unfolded.","This is the most classic and widely understood meaning of the word, referring to a plant part."
"bun","A roll of hair worn at the back of the head.","This definition refers to a common and distinct item (a hairstyle), separate from the various food-related meanings."
"buns","(Canada, US, euphemistic, childish) The buttocks.","The first definition is a trivial grammatical redirect. This definition provides a common, albeit euphemistic, meaning for the plural form."
"bur","A rough, prickly husk around the seeds or fruit of some plants.","This is the most natural and widely understood meaning related to plants, avoiding technical or alternative spelling definitions."
"burg","(Canada, US) A city or town.","This definition provides a common and natural informal usage of the word."
"bus","(automotive) A motor vehicle for transporting large numbers of people along roads.","This is the most common and universally recognized definition of the word."
"but","However, although, nevertheless, on the other hand (introducing a clause contrary to prior belief or in contrast with the preceding clause or sentence).","This definition describes the most fundamental and common use of 'but' as a conjunction indicating contrast."
"buts","plural of but","Both definitions are trivial grammatical redirects. The first is chosen as per instructions to always return a selection."
"cal","(informal) Clipping of calorie.","This is the most universally recognized and common informal clipping for the word."
"cam","(informal) Camera.","This informal clipping is extremely common and widely understood in modern usage, making it a natural description."
"camus","Obsolete form of camis (“light dress or robe; chemise”).","This is an obsolete form, which is a trivial grammatical redirect. It is chosen as per instructions to always return a selection."
"cap","A close-fitting hat, either brimless or peaked.","This definition describes the most iconic and widely understood meaning of the word."
"cav","Clipping of cavalry","This is the only definition available and is a common clipping, not violating any rules."
"caw","The harsh cry of a crow.","This is the most direct and common noun meaning of the word."
"cit","Clipping of citation","This definition represents a common and neutral modern usage of the clipping, unlike the rare and derogatory alternative."
"civ","Abbreviation of civilisation.","Both are common abbreviations. 'Civilisation' is a distinct noun and a good hint."
"cod","Any of various types of sea fish or the meat from said fish.","This is the most common and natural definition of the word, referring to a type of fish."
"coom","soot, smut","This definition provides a clear and common meaning, avoiding slang or obsolete terms."
"cor","(Cockney UK) Expression of surprise.","This definition describes a common interjection, which is more natural for a general hint than obscure historical units of measure."
"cork","A bottle stopper made from this or any other material.","This definition describes the most common and natural understanding of 'cork' for most people."
"corp","Alternative form of corp..","This is an alternative form, which is a trivial grammatical redirect. It is chosen as per instructions to always return a selection."
"cos","(chiefly UK) Synonym of romaine lettuce, a long-leaved variety of lettuce.","While regional, this is the only non-trivial and non-alternative form definition that is a common noun."
"cram","(transitive) To put hastily through an extensive course of memorizing or study, as in preparation for an examination.","This definition describes a very distinct and widely recognized meaning of 'cram' related to studying."
"dab","(transitive) To press lightly in a repetitive motion with a soft object without rubbing.","This definition describes a common and natural verb action associated with the word."
"dag","A dangling lock of sheep’s wool matted with dung.","This definition provides a distinct and relatively common meaning, especially in agricultural contexts."
"dah","The spoken representation of a dash in radio and telegraph Morse code.","This definition is more widely known and generally understood in English than the specific weapon."
"dahs","plural of dah","This is a trivial grammatical redirect ('plural of'). It is chosen as per instructions to always return a selection."
"dam","A structure placed across a flowing body of water to stop the flow or part of the flow, generally for purposes such as retaining or diverting some of the water or retarding the release of accumulated water to avoid abrupt flooding.","This definition describes the most universally recognized and primary meaning of the word."
"dan","A rank of black belt in martial arts.","This definition refers to a widely recognized concept in martial arts, making it common and natural."
"dap","(originally) Elaborate handshake, especially hooking thumbs.","This definition describes a common and natural type of handshake, providing a clear and understandable hint."
"dar","(UK, dialect) A fish found in the Severn River; a dart or dace.","The other definitions are trivial pronunciation spellings. This is the only non-trivial option, despite being regional."
"darg","(Scotland and dialectal Northern England) A day's work.","This definition provides a concise and clear meaning, even if regional, and avoids trivial redirects."
"dart","A small object with a pointed tip at one end and feathers at the other, which is thrown at a target in the game of darts.","This definition refers to a concrete object commonly known from the game of darts, making it a clear and natural hint."
"darter","One who darts, or who throws darts; that which darts.","This definition is the most general and natural, directly relating to the action of 'darting' or throwing darts."
"dat","(dialectal, nonstandard, African-American Vernacular, MLE, Ireland, foreign accents, or humorous) Pronunciation spelling of that.","All definitions are trivial grammatical redirects (pronunciation spellings). The first is chosen as per instructions to always return a selection."
"daw","A western jackdaw, Coloeus monedula, a passerine bird in the crow family (Corvidae), more commonly called jackdaw.","This is the only non-obsolete and non-trivial definition of the word."
"deb","(informal) A debutante (a young woman who makes her first formal appearance in society).","This definition describes the most direct and common meaning of the informal clipping."
"debut","A performer's first performance to the public, in sport, the arts or some other area.","This definition provides a very general and common noun meaning for a first public appearance."
"decaf","(informal) A decaffeinated coffee, tea, or soft drink.","This definition provides a common noun usage of the word, referring to the product itself."
"decal","(US) A decorative sticker.","This definition provides a common and natural description of the item, using widely understood terminology."
"dedal","Archaic spelling of daedal.","This is an archaic spelling, which is a trivial grammatical redirect. It is chosen as per instructions to always return a selection."
"deem","(ditransitive) To hold in belief or estimation; to adjudge as a conclusion; to regard as being; to evaluate according to one's beliefs; to account.","This definition provides a comprehensive and common modern usage of the verb."
"drag","(physics, uncountable) Resistance of a fluid to something moving through it.","This is a common and distinct scientific definition of the word, avoiding slang or revealing the word itself."
"draw","(transitive) To produce (a figure, line, picture, representation of something, etc.) with a piece of chalk, a crayon, a pen, a pencil, or other instrument.","This definition refers to the common artistic meaning of creating an image, which is widely understood and does not reveal the word."
"drawer","An open-topped box that can be slid in and out of the cabinet that contains it, used for storing clothing or other articles.","This is the most common and natural definition for the object, clearly describing its function without revealing the word."
"draws","plural of draw","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"dray","(historical) Any of various forms of low horse-drawn cart or wagon, often without sides or with removable sides, and used especially for heavy loads.","This definition provides a clear and common historical description of the type of cart, without revealing the word."
"dual","Characterized by having two (usually equivalent) components.","This definition is the most general and common meaning, describing something with two components, without revealing the word."
"dub","To replace the original soundtrack of a film with a synchronized translation","This definition refers to the common practice of replacing a film's soundtrack with a translation, a distinct and widely understood meaning."
"duh","A disdainful indication that something is obvious.","This is the most common and natural usage of the interjection, indicating obviousness."
"dui","(obsolete) plural of duo","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"duo","Two people who work or collaborate together as partners; especially:","This definition is the most general and common meaning for a pair of collaborators, without revealing the word."
"dup","to open (a door, gate etc.)","This is the only definition provided and is a clear, natural description of the action."
"eam","(dialectal or obsolete) Uncle.","This is the only definition provided and is a clear, natural description for an obsolete term."
"ear","(countable) The organ of hearing, consisting of the pinna or auricle, auditory canal, eardrum, malleus, incus, stapes and cochlea.","This is the most fundamental and common biological definition of the word, clearly describing the organ of hearing."
"edit","To change a text, or a document.","This definition is a clear, common, and natural verb meaning of changing a text or document, without revealing the word."
"eel","Any freshwater fish of the order Anguilliformes, which are elongated and resemble snakes.","This is the most common and natural definition for the animal, describing its general characteristics without revealing the word."
"emir","A prince, commander or other leader or ruler in an Islamic nation.","This is the most common and natural definition for a leader in an Islamic nation, without revealing the word."
"emit","(transitive) To send out or give off.","This is the most common and natural definition for the verb, describing the action of sending out or giving off."
"emos","plural of emo","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"enid","(zoology) Any snail in the family Enidae.","This is the only definition provided and is a clear, natural description for a specific zoological term."
"enol","(organic chemistry) An organic compound containing a hydroxyl group bonded to a carbon atom which is doubly bonded to another carbon atom.","This is the only definition provided and is a clear, natural description for a specific chemical compound."
"eon","An immeasurably or indefinitely long period of time.","This definition is a common and natural description of an immeasurably long period of time, without revealing the word."
"era","A time period of indeterminate length, generally more than one year.","This is the most common and natural definition for a time period of indeterminate length, without revealing the word."
"ergo","Consequently, therefore, or thus.","This is the most common and natural definition for the adverb, meaning 'consequently' or 'therefore'."
"eros","Physical love; sexual desire.","This definition refers to the common concept of physical love or sexual desire, which is widely understood and does not reveal the word."
"eta","The seventh letter of the Modern Greek alphabet, the eighth in Old Greek.","This is the most common and natural definition, referring to the Greek letter, without revealing the word."
"etas","plural of eta","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"etna","(archaic) A kind of small, portable cooking apparatus for which heat is furnished by a spirit lamp.","This is the only definition provided and is a clear, natural description for an archaic cooking apparatus."
"eva","Pronunciation spelling of ever.","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"evil","Intending to harm; malevolent.","This definition is a common and natural adjective meaning, describing an intention to harm, without revealing the word."
"eviler","comparative form of evil: more evil","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"faced","Having the outer surface dressed, with the front, as of a dress, covered ornamentally with another material.","This definition describes a common usage related to surfaces or coverings, avoiding trivial grammatical redirects or revealing the word."
"fao","Abbreviation of for the attention of; used on an address or label, specifies an individual to whom the document should be delivered, usually put on when the address is of an organisation.","This is the only definition provided and is a clear, natural description of the common abbreviation."
"far","Distant; remote in space.","This is the most fundamental and common definition, describing remoteness in space, without revealing the word."
"fed","(slang, derogatory) A federal government officer or official.","This definition refers to a common slang term for a federal officer, avoiding trivial grammatical redirects or revealing the word."
"feer","(Scotland, transitive, agriculture) To mark (a field) with furrows before ploughing.","This is the only non-trivial definition, describing a specific agricultural practice, without revealing the word."
"fer","(dialectal, especially British or Southern) Pronunciation spelling of for.","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"fiat","An arbitrary or authoritative command or order to do something; an effectual decree.","This definition is a common and natural meaning, referring to an authoritative command, without revealing the word."
"fig","The fruit of the fig tree, pear-shaped and containing many small seeds.","This is the most common and natural definition, referring to the fruit, without revealing the word."
"fine","A fee levied as punishment for breaking the law.","This definition refers to the common meaning of a monetary penalty, which is distinct and widely understood."
"fir","(chiefly countable) A conifer of the genus Abies.","This is the most common and natural definition, referring to a type of conifer tree, without revealing the word."
"fires","plural of fire","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"flog","(transitive) To whip or scourge as punishment.","This is the most common and natural definition for the verb, describing the act of whipping as punishment."
"flor","A film of yeast that develops on the surface of some wines during fermentation, induced deliberately during the production of sherry.","This is the only definition provided and is a clear, natural description for a specific term in winemaking."
"flow","The movement of a real or figurative fluid.","This definition is a fundamental and common meaning, describing the movement of a fluid, without revealing the word."
"fps","Initialism of frames per second.","This is a very common initialism, especially in gaming and video contexts, and does not reveal the word."
"fret","(intransitive) To be anxious, to worry.","This definition is a common and natural meaning, describing the act of being anxious or worrying, without revealing the word."
"gab","Idle chatter.","This definition is a common and natural noun meaning, referring to idle chatter, without revealing the word."
"gad","(intransitive) To move from one location to another in an apparently random and frivolous manner.","This definition is a common and natural verb meaning, describing aimless wandering, without revealing the word."
"gal","(colloquial) A young woman or girl; generally a form of rural Southern slang.","This definition refers to a common colloquial term for a young woman, avoiding trivial abbreviations."
"gals","plural of gal","All definitions are trivial grammatical redirects. The first one is chosen as per the rule to select one, even if trivial."
"gam","Collective noun used to refer to a group of whales, or rarely also of porpoises; a pod.","This definition is a common and readable description of a group of whales, avoiding slang or technical jargon."
"gan","(Northumbria, North Yorkshire) To go.","This is the only non-trivial definition available, despite being dialectal."
"gar","(especially US, Canada) Any of several North American fish of the family Lepisosteidae that have long, narrow jaws.","This definition describes a common type of fish without revealing the word itself or using close variations."
"garb","A type of dress or clothing.","This is a common, readable, and direct definition of the word, avoiding self-reference."
"gard","(obsolete) A garden.","This is the only non-trivial definition available, despite being obsolete."
"gas","(uncountable) A flammable gaseous hydrocarbon or hydrocarbon mixture used as a fuel, e.g. for cooking, heating, electricity generation or as a fuel in internal combustion engines in vehicles, especially natural gas.","This definition describes a common use of the substance as fuel, without using the word itself or close variations like 'gasoline'."
"gat","(originally 1920s gangster slang) Any type of gun, usually a pistol.","This is a common slang meaning for a type of firearm, avoiding trivial grammatical redirects or close variations."
"gats","plural of gat","This definition is a trivial grammatical redirect ('plural of X'), which violates a critical rule. However, it is the only option available."
"ged","(UK, dialect or heraldry) The pike or luce.","This definition describes a specific type of fish, which is a direct and distinct meaning."
"gee","A command to a horse, pack animal, etc., which may variously mean “move forward”, “go faster”, or “turn to the right”.","This definition clearly describes a common command given to a horse, which is a distinct and widely understood meaning."
"gel","A semi-solid to almost solid colloid of a solid and a liquid, such as jelly, cheese or opal.","This is the most fundamental and common definition of the substance, avoiding self-reference."
"gem","A precious stone, usually of substantial monetary value or prized for its beauty or shine.","This is the primary and most common literal definition of the word, describing a precious stone."
"gen","(chiefly UK, Ireland, Commonwealth, informal) Information.","This is a common informal meaning of the word, avoiding close variations or trivial redirects."
"ger","A yurt.","This definition provides a direct and recognizable description of a yurt."
"gib","A castrated male cat or ferret.","This definition is a distinct and direct meaning of the word, avoiding self-reference or trivial redirects."
"gid","A disease caused by coenurosis of the brain, most commonly found in sheep and canids.","This is the only definition provided and directly describes a specific disease."
"gif","Alternative letter-case form of GIF.","This definition is a trivial grammatical redirect ('alternative letter-case'), which violates a critical rule. However, it is the only option available."
"giro","(in Europe, etc.) A transfer of funds between different account holders, carried out by the bank according to payer's written instructions.","This definition describes a common financial transfer mechanism, which is a primary meaning of the word."
"girt","A horizontal structural member of post and beam architecture, typically attached to bridge two or more vertical members such as corner posts.","This definition describes a specific structural member, and is the only non-violating option despite being somewhat technical."
"gnat","Any small insect of the order Diptera, specifically within the suborder Nematocera.","This is the primary and most common literal definition of the word, describing a small insect."
"gnats","plural of gnat","This definition is a trivial grammatical redirect ('plural of X'), which violates a critical rule. However, it is the only option available."
"gnaw","(ambitransitive) To bite something persistently, especially something tough.","This is the primary and most common literal definition of the word, describing the act of biting persistently."
"gnus","plural of gnu","This definition is a trivial grammatical redirect ('plural of X'), which violates a critical rule. However, it is the only option available."
"gob","(countable) A lump of soft or sticky material.","This is a common and general definition of the word, describing a lump of material."
"god","A deity or supreme being; a supernatural, typically immortal, being with superior powers, to which personhood is attributed.","This is the most fundamental and primary definition of the word, describing a supreme being."
"golf","(sports) A ball game played by individuals competing against one another in which the object is to hit a ball into each of a series of (usually 18 or nine) holes in the minimum number of strokes.","This is the primary and most common definition of the word, describing the sport, and avoids self-reference."
"gorp","A loose mixture of dried fruit, nuts, frequently salt, and sometimes other ingredients; designed as an energy supplement for use while hiking, climbing, canoeing, etc.","This is the only definition provided and directly describes a common energy snack."
"got","(colloquial, with to) Must; have/has (to).","This is a common and readable colloquial usage expressing obligation, avoiding trivial grammatical redirects."
"grad","Clipping of graduate.","This definition is a trivial grammatical redirect ('clipping of X'), which violates a critical rule. However, it is the most common informal usage among the problematic options."
"gram","A unit of mass equal to one-thousandth of a kilogram. Symbol: g.","This is the most fundamental and widely recognized definition of the word as a unit of mass."
"gro","The cardinal number occurring after el do el (↋↋) and before gro one (101) in a duodecimal system. Written 100, decimal value 144.","This definition is highly technical and obscure, but it is the only option that does not violate the rules by using a close variation or being a trivial redirect."
"grub","(countable) An insect, especially a beetle, at an immature stage of its life cycle.","This is a distinct and common literal definition of the word, referring to an insect larva."
"grus","(geology) An accumulation of angular, coarse-grained fragments (particles of sand and gravel) resulting from the chemical and mechanical weathering of crystalline rocks.","This is the only definition provided and directly describes a geological formation."
"gulp","The usual amount swallowed.","This is a simple, direct, and common noun meaning of the word."
"gum","(often in the plural) The flesh around the teeth.","This is a very distinct and common literal definition of the word, referring to the flesh around teeth."
"gums","plural of gum","This definition is a trivial grammatical redirect ('plural of X'), which violates a critical rule. However, it is the only option available."
"guns","(bodybuilding, slang) Well-developed muscles of the upper arm, especially the biceps and triceps.","This is a common and readable slang meaning for well-developed arm muscles, avoiding trivial grammatical redirects."
"gut","The alimentary canal, especially the intestine.","This is the most fundamental and literal definition of the word, referring to the alimentary canal."
"hab","(informal) A house.","This is a common informal meaning of the word, avoiding close variations."
"had","simple past and past participle of have","This definition is a trivial grammatical redirect ('past tense of X'), which violates a critical rule. However, it is the only option available."
"hales","third-person singular simple present indicative of hale","This definition is a trivial grammatical redirect ('third-person singular simple present indicative of X'), which violates a critical rule. However, it is the only option available."
"han","Sorrowful resentment, as a part of the Korean cultural identity.","This definition describes a specific cultural concept and is the only non-trivial option available."
"hap","(uncountable) A person's lot (good or bad), luck, fortune, fate.","This is a common and readable definition of the word, referring to luck or fate, and avoids close variations."
"harris","(UK, slang) A dried preparation of the flowering tops or other parts of the cannabis plant used as a psychotropic drug.","This is the only definition provided and directly describes a specific preparation of cannabis."
"hay","(uncountable) Grass cut and dried for use as animal fodder.","This is the primary and most common definition of the word, describing dried grass for animal fodder."
"hem","(sewing) The border of an article of clothing doubled back and stitched together to finish the edge and prevent it from fraying.","This is a very distinct and widely understood definition of the word in the context of sewing."
"hen","A female chicken (Gallus gallus), especially a sexually mature one kept for her eggs.","This is the primary and most common definition of the word, referring to a female chicken."
"hin","(historical units of measure) A former Hebrew liquid measure of volume (about 3.8 L).","This definition describes a historical unit of measure, which is a direct and distinct meaning."
"hod","A three-sided box mounted on a pole for carrying bricks, mortar, or other construction materials over the shoulder.","This is a common and iconic definition of the word, referring to a box for carrying construction materials."
"hoo","(obsolete) Expressing joy, excitement, or victory.","This definition describes a common exclamation of joy or excitement, which is a distinct meaning."
"liar","Someone who tells a lie; especially, a person who frequently lies.","This is the most common and straightforward definition, clearly describing the word without revealing it."
"lias","A type of blue limestone present in parts of southern England and Wales.","This definition describes a specific type of material, which is a common meaning of the word, and avoids trivial grammatical redirects."
"lied","(music) An art song, usually sung solo in German and accompanied on the piano.","This definition refers to a specific musical form, which is a common and distinct meaning, and avoids trivial grammatical redirects."
"lien","(law) A right to take possession of a debtor’s property as security until a debt or duty is discharged.","This legal term is the most common and relevant definition, avoiding obsolete or trivial options."
"lime","Any of several green citrus fruit, somewhat smaller and sharper-tasting than a lemon.","This definition refers to the common citrus fruit, which is a widely recognized and natural description, and avoids revealing the word or using technical jargon."
"lin","(UK dialectal, Northern England, Scotland) To desist, to stop, to cease.","While dialectal, this is the most descriptive non-trivial definition available, clearly defining an action."
"lion","A big cat, Panthera leo, native to Africa, India and formerly much of Europe.","This is the primary and most common definition of the animal, clearly describing the word without revealing it."
"lira","The basic unit of currency in Turkey.","This definition refers to a basic unit of currency, which is a common and clear meaning of the word."
"lit","Illuminated.","This definition means 'illuminated,' which is a common and natural description, avoiding grammatical redirects and specific slang."
"live","(intransitive) To have permanent residence somewhere, to inhabit, to reside.","This definition means 'to inhabit or reside,' which is a common verb meaning and avoids revealing the word 'life' directly."
"lived","(in combination) Having a specified duration of life.","This definition describes a state ('having a specified duration of life') which is a common usage, and avoids being a trivial grammatical redirect."
"liven","(ambitransitive) To cause to be more lively, or to become more lively.","This definition describes the action of causing something to become more lively, which is the core meaning, and 'lively' is a related adjective, not the word itself."
"lob","(transitive) To throw or hit a ball into the air in a high arc.","This definition describes the action of throwing a ball in a high arc, which is a very common and clear meaning of the verb."
"lone","Solitary; having no companion.","This definition means 'solitary; having no companion,' which is the most direct and common meaning of the word."
"loop","A length of thread, line or rope that is doubled over to make an opening.","This definition describes a fundamental physical shape formed by doubling over a length of material, which is a common and clear meaning."
"loops","plural of loop","This definition is 'plural of loop,' which violates the rule against trivial grammatical redirects. However, it is the only definition provided, so it is selected as the least problematic option."
"loot","Synonym of booty, goods seized from an enemy by violence, particularly (historical) during the sacking of a town in war or (video games) after successful combat.","This definition refers to 'goods seized by violence,' which is the most common and comprehensive noun meaning of the word."
"looter","One who loots, who steals during a general disturbance such as a riot or natural disaster.","This definition describes 'one who steals during a disturbance,' which is a clear and common meaning of the noun."
