"word1","word2","length","difficulty","reasoning"
"bonk","knob","4","Easy","The definition of 'bonk' is easily guessable, making it a clear anchor for the puzzle."
"dap","pad","3","Easy","The definition of 'dap' is easily guessable, making it a clear anchor for the puzzle."
"mart","tram","4","Easy","The definition for 'mart' is clear and familiar, making it easy for players to anchor on. The definition for 'tram' is also clear, but the word itself is not as widely known."
"duo","oud","3","Easy","The definition of 'duo' is clear and common, making it easy to anchor on. The definition of 'oud' is less common, but the word itself is still recognizable."
"bal","lab","3","Easy","The definition of 'bal' is clear and regional, making it easy to anchor on. The definition of 'lab' is common, but the word itself is still recognizable."
"ergo","ogre","4","Easy","The definition of 'ergo' is clear and common, making it easy to anchor on. The definition of 'ogre' is less common, but the word itself is still recognizable."
"kay","yak","3","Easy","The definition of 'kay' is clear and common, making it easy to anchor on. The definition of 'yak' is less common, but the word itself is still recognizable."
"ger","reg","3","Easy","The definition of 'ger' as a yurt is a clear anchor, and 'reg' is a familiar word, though it may need a moment's thought."
"demit","timed","5","Easy","The definition of 'demit' as to let fall is a clear anchor, and 'timed' is a familiar word."
"nuts","stun","4","Easy","The definition of 'nuts' as slang for testicles is a clear anchor, and 'stun' as to incapacitate is a familiar word."
"pst","tsp","3","Easy","The definition of 'psst' is immediately familiar, making it easy to anchor on 'pst'."
"mop","pom","3","Easy","The definition of 'mop' is immediately familiar, making it easy to anchor on 'mop'."
"civ","vic","3","Easy","The definition of 'civ' is immediately familiar, making it easy to anchor on 'civ'."
"bros","sorb","4","Easy","The definition of 'bros' is instantly recognizable, making it easy to anchor on and discover the less common term 'sorb'."
"sports","strops","6","Easy","The definition of 'sports' is instantly recognizable, making it easy to anchor on and discover the less common term 'strops'."
"loots","stool","5","Easy","The definition of 'loots' is instantly recognizable, making it easy to anchor on and discover the less common term 'stool'."
"buts","stub","4","Easy","The definition of 'buts' is straightforward, and the word 'stub' is easily recognizable from its definition."
"denim","mined","5","Easy","The definition of 'denim' is straightforward, and the word 'mined' is easily recognizable from its definition."
"oat","tao","3","Easy","The definition of 'oat' is immediately obvious and 'tao' is a familiar word in Chinese philosophy."
"pes","sep","3","Easy","The definition of 'pes' is immediately obvious and 'sep' is a common abbreviation."
"avid","diva","4","Easy","The definition of 'avid' is familiar, and 'diva' is a well-known term, making it easy to anchor on either one."
"doh","hod","3","Easy","Both words are somewhat familiar, and the definition of 'doh' is a common expression, making it easy to anchor on either one."
"bod","dob","3","Easy","The definition of 'bod' as a person is immediately obvious, making it the anchor."
"pacer","recap","5","Easy","Both definitions are relatively common, and a typical adult English speaker may need only a moment's thought to anchor on either 'pacer' or 'recap'."
"macs","scam","4","Easy","The definition of 'macs' is common and can serve as an anchor."
"oohs","shoo","4","Easy","The definition of 'oohs' is common and can serve as an anchor."
"pees","seep","4","Easy","The definition of 'pees' is common and can serve as an anchor."
"spay","yaps","4","Easy","The definition of 'spay' is a common action, making it easy to anchor on. The word 'yaps' is also familiar, but the definition is less common."
"cav","vac","3","Easy","The definition of 'cav' is a common term, making it easy to anchor on. The word 'vac' is also familiar."
"dep","ped","3","Easy","The definition of 'dep' is a common term, making it easy to anchor on. The word 'ped' is also familiar."
"duh","hud","3","Easy","The definition of 'duh' is a common expression, making it easy to anchor on. The word 'hud' is also familiar."
"dup","pud","3","Easy","The definition of 'dup' is a common action, making it easy to anchor on. The word 'pud' is also familiar."
"not","ton","3","Medium","The definition of 'not' is clear, but 'ton' requires some thought."
"are","era","3","Medium","The definition of 'are' is clear, but 'era' requires some thought."
"but","tub","3","Medium","The definition of 'but' is clear, but 'tub' requires some thought."
"man","nam","3","Medium","The definition of 'man' is clear, but 'nam' requires some thought."
"der","red","3","Medium","The definition of 'der' is not clear, and 'red' is a common word."
"def","fed","3","Medium","The definition of 'def' is not immediately obvious, but 'fed' is a common word."
"nos","son","3","Medium","The definition of 'nos' is not immediately obvious, but 'son' is a common word."
"emos","some","4","Medium","The definition of 'emos' is not immediately obvious, but 'some' is a common word."
"let","tel","3","Medium","The definition of 'let' is not immediately obvious, but 'tel' is a common abbreviation."
"den","ned","3","Medium","The definition of 'den' is somewhat obscure, but 'ned' is not a common word, making it a medium difficulty puzzle."
"raw","war","3","Medium","The definition of 'raw' is straightforward, but 'war' is a more complex concept, making it a medium difficulty puzzle."
"way","yaw","3","Medium","The definition of 'way' is somewhat abstract, but 'yaw' is a specific concept in aviation, making it a medium difficulty puzzle."
"moor","room","4","Medium","The definition of 'moor' is somewhat obscure, but 'room' is a common concept, making it a medium difficulty puzzle."
"pas","sap","3","Medium","The definition of 'pas' is somewhat archaic, but 'sap' is a common concept, making it a medium difficulty puzzle."
"dem","med","3","Medium","The definition of 'dem' is somewhat obscure, but 'med' is a common concept, making it a medium difficulty puzzle."
"par","rap","3","Medium","The definition of 'par' is somewhat familiar, but the definition of 'rap' is less common. A player needs some vocabulary to find an anchor."
"mon","nom","3","Medium","The definition of 'mon' is somewhat familiar, but the definition of 'nom' is less common. A player needs some vocabulary to find an anchor."
"mot","tom","3","Medium","The definition of 'mot' is somewhat familiar, but the definition of 'tom' is less common. A player needs some vocabulary to find an anchor."
"dial","laid","4","Medium","The definition of 'dial' is somewhat familiar, but the definition of 'laid' is less common. A player needs some vocabulary to find an anchor."
"air","ria","3","Medium","The definition of 'air' is quite vivid and primary, but the word itself is not extremely common. The definition of 'ria' is less familiar, making it harder to anchor on."
"parts","strap","5","Medium","The definition of 'parts' is less familiar, making it harder to anchor on. The definition of 'strap' is also not extremely common, making it harder to anchor on."
"spot","tops","4","Medium","The definition of 'spot' is quite vivid and primary, but the word itself is not extremely common. The definition of 'tops' is also less familiar, making it harder to anchor on."
"pots","stop","4","Medium","The definition of 'pots' is easily guessable, but 'stop' is a common word that requires a moment's thought."
"draw","ward","4","Medium","The definition of 'draw' is easily guessable, but 'ward' is an archaic or obsolete word."
"pets","step","4","Medium","The definition of 'pets' is easily guessable, but 'step' is a common word that requires a moment's thought."
"peels","sleep","5","Medium","The definition of 'sleep' is immediately obvious, but the definition of 'peels' is less so. A player needs some vocabulary to find an anchor."
"dam","mad","3","Medium","The definition of 'dam' is immediately obvious, but the definition of 'mad' is less so. A player needs some vocabulary to find an anchor."
"lit","til","3","Medium","The definition of 'lit' is immediately obvious, but the definition of 'til' is less so. A player needs some vocabulary to find an anchor."
"mus","sum","3","Medium","The definition of 'sum' is immediately obvious, but the definition of 'mus' is less so. A player needs some vocabulary to find an anchor."
"dir","rid","3","Medium","The definition of 'rid' is immediately obvious, but the definition of 'dir' is less so. A player needs some vocabulary to find an anchor."
"drawer","reward","6","Medium","The definition of 'reward' is immediately obvious, but the definition of 'drawer' is less so. A player needs some vocabulary to find an anchor."
"edit","tide","4","Medium","Both words are moderately difficult to anchor on, with 'edit' being a common term and 'tide' being a less common concept."
"deeps","speed","5","Medium","Both words are moderately difficult to anchor on, with 'deeps' being a less common term and 'speed' being a common concept."
"aim","mia","3","Medium","The definition for 'aim' is a common word, making it easy to anchor on, but the definition for 'mia' is less common."
"lias","sail","4","Medium","The definition for 'sail' is a common word, making it easy to anchor on, but the definition for 'lias' is less common."
"kcal","lack","4","Medium","The definition for 'kcal' is a common abbreviation, making it easy to anchor on, but the definition for 'lack' is less common."
"spots","stops","5","Medium","The definitions of 'spots' and 'stops' are both common terms, but neither is immediately obvious. A reasonably well-read speaker can work out at least one."
"dray","yard","4","Medium","The definition of 'dray' is a historical term, making it less common. The definition of 'yard' is a common unit of length, making it easy to anchor on."
"eros","sore","4","Medium","The definition of 'eros' is a common term, making it easy to anchor on. The definition of 'sore' is also easily understandable, but not as immediately obvious."
"ben","neb","3","Medium","The definition of 'ben' as a Scottish or Irish mountain is not immediately clear, but it's still a familiar word, making it moderately easy to anchor on."
"bid","dib","3","Medium","The definition of 'bid' as an offer at an auction is immediately clear, making it moderately easy to anchor on."
"nat","tan","3","Medium","The definition of 'nat' is not immediately clear, but the word is relatively common. The definition of 'tan' is also clear, but the word is less common."
"lion","noil","4","Medium","The definition of 'lion' is a well-known animal, but the definition of 'noil' is a less common term related to textile yarns, making it a moderately difficult puzzle."
"drag","gard","4","Medium","The definition of 'drag' is a common and easily recognizable term for resistance, but the definition of 'gard' is a less common and more obscure term for a garden, making it a moderately difficult puzzle."
"deg","ged","3","Medium","The definition of 'deg' is a common abbreviation, but it's not immediately obvious. The definition of 'ged' is less common and requires some thought to anchor on."
"taw","wat","3","Medium","The definition of 'taw' is an obsolete term, making it a harder anchor. The definition of 'wat' is a Buddhist temple, which is a less common concept, but still a clear anchor."
"spit","tips","4","Medium","The definition of 'spit' is a common verb, making it a clear anchor. The definition of 'tips' is a plural noun, which is also a common concept, but requires some thought to anchor on."
"tort","trot","4","Medium","The definition of 'tort' is somewhat technical, but 'trot' is a common word that can be anchored on."
"nut","tun","3","Medium","The definition of 'nut' is somewhat common, but 'tun' is a less familiar word that can be anchored on."
"dot","tod","3","Medium","The definition of 'dot' is somewhat common, but 'tod' is a less familiar word that can be anchored on."
"pans","snap","4","Medium","The definition of 'pans' is somewhat common, but 'snap' is a less familiar word that can be anchored on."
"pools","sloop","5","Medium","The definition of 'pools' is familiar, but the definition of 'sloop' requires some knowledge of nautical terms."
"ports","strop","5","Medium","The definition of 'ports' is familiar, but the definition of 'strop' requires some knowledge of leatherworking or razor maintenance."
"loot","tool","4","Medium","The definition of 'loot' as booty is familiar, but the definition of 'tool' requires some knowledge of general vocabulary."
"dort","trod","4","Medium","The definition of 'dort' as a sulky mood is less familiar, but the definition of 'trod' as the past tense of tread is still somewhat recognizable."
"sway","yaws","4","Medium","The definition of 'sway' is a common word, but the definition of 'yaws' is less familiar, making it a medium difficulty puzzle."
"rot","tor","3","Medium","The definition of 'rot' is a common word, but the definition of 'tor' is less familiar, making it a medium difficulty puzzle."
"gen","neg","3","Medium","The definition of 'gen' is a common word, but the definition of 'neg' is less familiar, making it a medium difficulty puzzle."
"jar","raj","3","Medium","The definition of 'jar' is a common word, but the definition of 'raj' is less familiar, making it a medium difficulty puzzle."
"bud","dub","3","Medium","The definition of 'bud' is recognizable, but the definition of 'dub' is less common, making it a bit harder to anchor on."
"hoop","pooh","4","Medium","The definition of 'hoop' is recognizable, but the definition of 'pooh' is less common, making it a bit harder to anchor on."
"dart","trad","4","Medium","The definition of 'dart' is recognizable, but the definition of 'trad' is less common, making it a bit harder to anchor on."
"cos","soc","3","Medium","The definition of 'cos' is somewhat obscure, but 'soc' is a familiar term in university slang."
"leer","reel","4","Medium","The definition of 'leer' is somewhat unusual, but 'reel' is a familiar term."
"cit","tic","3","Medium","The definition of 'cit' is somewhat obscure, but 'tic' is a familiar term in neurology."
"enol","lone","4","Medium","The definition of 'enol' is somewhat obscure, but 'lone' is a familiar term."
"daw","wad","3","Medium","The definition of 'daw' is not immediately obvious, but 'wad' is a common word."
"gam","mag","3","Medium","The definition of 'gam' is somewhat obscure, but 'mag' is a common word."
"lav","val","3","Medium","The definition of 'lav' is somewhat obscure, but 'val' is a common word."
"tow","wot","3","Medium","The definition of 'tow' is somewhat obscure, but 'wot' is a somewhat common word."
"nips","spin","4","Medium","The definition of 'spin' is a bit less common, but still recognizable, making it a medium-difficulty anchor for this puzzle."
"gal","lag","3","Medium","The definition of 'lag' is a bit less common, but still recognizable, making it a medium-difficulty anchor for this puzzle."
"naps","span","4","Medium","The definition of 'span' is a bit less common, but still recognizable, making it a medium-difficulty anchor for this puzzle."
"etas","sate","4","Medium","The definition of 'etas' as a plural of eta is less common, but 'sate' is a familiar word that can be anchored on."
"ajar","raja","4","Medium","The definition of 'ajar' as slightly turned or opened is less common, but 'raja' is a familiar term that can be anchored on."
"keels","sleek","5","Medium","The definition of 'keels' as a plural of keel is less common, but 'sleek' is a familiar word that can be anchored on."
"gats","stag","4","Medium","The definition of 'gats' is somewhat obscure, but the definition of 'stag' is somewhat familiar, making it moderately easy to anchor on."
"stew","wets","4","Medium","The definition of 'stew' is somewhat obscure, but the definition of 'wets' is somewhat familiar, making it moderately easy to anchor on."
"gnaw","wang","4","Medium","The definition of 'gnaw' is somewhat familiar, but the definition of 'wang' is somewhat obscure, making it moderately easy to anchor on."
"snoops","spoons","6","Medium","The definition of 'snoops' is not immediately obvious, but 'spoons' is a familiar word that can serve as an anchor."
"decal","laced","5","Medium","The definition of 'decal' is not immediately obvious, but 'laced' is a familiar word that can serve as an anchor."
"brag","garb","4","Medium","The definition of 'brag' is not immediately obvious, but 'garb' is a familiar word that can serve as an anchor."
"dual","laud","4","Medium","The definition of 'dual' is not immediately obvious, but 'laud' is a familiar word that can serve as an anchor."
"corp","proc","4","Medium","The definition for 'corp' is not immediately obvious, but 'proc' is a familiar term in programming. A player needs some knowledge of programming to anchor on 'proc'."
"gals","slag","4","Medium","The definition for 'gals' is clear, but the word itself is not immediately recognizable. The definition for 'slag' is clear, but the word itself is not as widely known."
"cram","marc","4","Medium","The definition for 'cram' is clear, but the word itself is not immediately recognizable. The definition for 'marc' is clear, but the word itself is not as widely known."
"reit","tier","4","Medium","The definition of 'reit' is obscure, but the word itself is not entirely unknown. The definition of 'tier' is clear, but the word 'reit' is not as well-known."
"loops","spool","5","Medium","The definition of 'loops' is clear, but the word itself is not as well-known. The definition of 'spool' is common, but the word itself is still recognizable."
"buns","snub","4","Medium","The definition of 'buns' is colloquial, but the word itself is still recognizable. The definition of 'snub' is clear, but the word itself is not as well-known."
"snit","tins","4","Medium","The definition of 'snit' is colloquial, but the word itself is still recognizable. The definition of 'tins' is clear, but the word itself is not as well-known."
"lop","pol","3","Medium","The definition of 'lop' as a verb is somewhat obscure, but 'pol' as a politician is a clear anchor."
"fao","oaf","3","Medium","The definition of 'fao' as an abbreviation is somewhat obscure, but 'oaf' as a derogatory term is a clear anchor."
"reknit","tinker","6","Medium","The definition of 'reknit' as to knit again is somewhat obscure, but 'tinker' as a verb is a clear anchor."
"knits","stink","5","Medium","The definition of 'knits' is familiar, but the word 'stink' is not immediately obvious. A reasonably well-read speaker can work out at least one anchor."
"dorp","prod","4","Medium","The definition of 'dorp' is moderately difficult, but the word 'prod' is familiar. A reasonably well-read speaker can work out at least one anchor."
"gnat","tang","4","Medium","The definition of 'gnat' is moderately difficult, but the word 'tang' is familiar. A reasonably well-read speaker can work out at least one anchor."
"darg","grad","4","Medium","The definition of 'darg' is moderately difficult, but the word 'grad' is familiar. A reasonably well-read speaker can work out at least one anchor."
"gnats","stang","5","Medium","The definition of 'gnats' is immediately familiar, but 'stang' is a less common term, requiring some thought to anchor on."
"snips","spins","5","Medium","The definition of 'snips' is immediately familiar, but 'spins' is a less common term, requiring some thought to anchor on."
"giro","orig","4","Medium","The definition of 'giro' is less common, and 'orig' is a specialized term, making it harder to anchor on and discover the less common term 'orig'."
"lees","seel","4","Medium","The definition of 'lees' is immediately familiar, but 'seel' is a less common term, requiring some thought to anchor on."
"stat","tats","4","Medium","The definition of 'stat' is informal and may not be immediately recognizable, while 'tats' is a plural form that may not be familiar to all players."
"delos","soled","5","Medium","The definition of 'delos' is straightforward, but the word 'soled' may not be immediately recognizable from its definition."
"arb","bra","3","Medium","The definition of 'arb' is not immediately obvious, but 'bra' is a common word."
"dahs","shad","4","Medium","The definition of 'dahs' is not immediately obvious, but 'shad' is a common word."
"pols","slop","4","Medium","The definition of 'slop' is somewhat obscure, but 'pols' is a familiar word, making it easier to anchor on."
"aril","lira","4","Medium","The definition of 'aril' is somewhat technical, but 'lira' is a familiar unit of currency, making it easier to anchor on."
"poons","snoop","5","Medium","The definition of 'poons' is somewhat obscure, but 'snoop' is a familiar term, making it easier to anchor on."
"saps","spas","4","Medium","The definition of 'saps' is somewhat technical, but 'spas' is a familiar term, making it easier to anchor on."
"smut","tums","4","Medium","The definition of 'smut' as soot is not immediately obvious, but 'tums' is a familiar word. The anchor is 'tums'."
"rebut","tuber","5","Medium","The definition of 'rebut' is somewhat familiar, but 'tuber' is not immediately obvious. The anchor is 'rebut'."
"dialer","relaid","6","Medium","The definition of 'dialer' is somewhat familiar, but 'relaid' is not immediately obvious. The anchor is 'dialer'."
"eviler","relive","6","Medium","The definition of 'eviler' is somewhat familiar, but 'relive' is not immediately obvious. The anchor is 'eviler'."
"looter","retool","6","Medium","The definition of 'looter' is somewhat familiar, but 'retool' is not immediately obvious. The anchor is 'looter'."
"recaps","spacer","6","Medium","The definition of 'recaps' is somewhat familiar, but 'spacer' is not immediately obvious. The anchor is 'recaps'."
"rennet","tenner","6","Medium","The definition of 'rennet' is somewhat technical, but 'tenner' is a common term in the UK and Ireland. A typical adult English speaker may need a moment's thought to anchor on 'tenner'."
"sprits","stirps","6","Medium","The definition of 'sprits' is somewhat technical, but 'stirps' is a familiar term in genealogy. A typical adult English speaker may need a moment's thought to anchor on 'stirps'."
"marcs","scram","5","Medium","The definition of 'marcs' is somewhat technical, but 'scram' is a common term in informal language. A typical adult English speaker may need a moment's thought to anchor on 'scram'."
"nonet","tenon","5","Medium","The definition of 'nonet' is somewhat technical, but 'tenon' is a familiar term in carpentry. A typical adult English speaker may need a moment's thought to anchor on 'tenon'."
"resat","taser","5","Medium","The definition of 'resat' is somewhat technical, but 'taser' is a familiar term in law enforcement. A typical adult English speaker may need a moment's thought to anchor on 'taser'."
"sprat","tarps","5","Medium","The definition of 'sprat' is somewhat obscure, but 'tarps' is a common word that can serve as an anchor."
"stows","swots","5","Medium","The definition of 'stows' is somewhat technical, but 'swots' is a common word that can serve as an anchor."
"gorp","prog","4","Medium","The definition of 'gorp' is somewhat obscure, but 'prog' is a common word that can serve as an anchor."
"prat","tarp","4","Medium","The definition of 'prat' is somewhat obscure, but 'tarp' is a common word that can serve as an anchor."
"swat","taws","4","Medium","The definition of 'swat' is common, but the word 'taws' is less well-known. The definition of 'taws' is also not immediately obvious."
"swot","tows","4","Medium","The definition of 'swot' is common, but the word 'tows' is less well-known. The definition of 'tows' is also not immediately obvious."
"gro","org","3","Medium","The definition of 'gro' is technical, making it hard to anchor on. The word 'org' is also not immediately obvious."
"and","dna","3","Hard","The definition of 'and' is clear, but 'dna' is not immediately obvious."
"dias","said","4","Hard","The definition of 'dias' is not clear, and 'said' is not immediately obvious."
"del","led","3","Hard","The definition of 'del' is technical and may be unfamiliar to many players, making it a hard difficulty puzzle."
"devil","lived","5","Hard","Both words are somewhat familiar, but neither definition is immediately obvious. A player needs some domain knowledge or vocabulary to find an anchor."
"deep","peed","4","Hard","Neither definition is immediately obvious, and 'peed' is a less common word."
"mir","rim","3","Hard","Both words are somewhat familiar, but neither definition is immediately obvious. A player needs some domain knowledge or vocabulary to find an anchor."
"guns","snug","4","Hard","Both words are somewhat familiar, but neither definition is immediately obvious. A player needs some domain knowledge or vocabulary to find an anchor."
"mas","sam","3","Hard","Both words are moderately difficult to anchor on, with 'mas' being a less common word and 'sam' being a less common verb."
"han","nah","3","Hard","Both words are moderately difficult to anchor on, with 'han' being a less common word and 'nah' being an informal term."
